service_level,total_cost,scri_viol,VaR95,TVaR95,scenario,method,seed,episode,c_h,c_b,c_o,c_disruption,lambda_scri,scri_threshold,scri_mode
0.10303484451105283,5060.0,1,1301.6,1336.0,S1,qlearning,0,0,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.12690355329949238,5198.0,4,1541.8,1581.0,S1,qlearning,0,1,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.13528336380255943,5057.0,0,1340.4,1352.0,S1,qlearning,0,2,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.1531770045385779,4915.0,3,1304.0,1340.0,S1,qlearning,0,3,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.09909304669129997,5631.0,0,1521.6,1525.0,S1,qlearning,0,4,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.10877862595419847,4977.0,2,1401.0,1435.0,S1,qlearning,0,5,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.10551647537948908,5089.0,0,1317.6,1333.0,S1,qlearning,0,6,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.11619592420450482,5261.0,2,1379.0,1396.0,S1,qlearning,0,7,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.11604234527687296,4604.0,0,1403.3999999999999,1489.0,S1,qlearning,0,8,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.1245995016019936,5255.0,1,1581.0,1650.0,S1,qlearning,0,9,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.10873440285204991,5337.0,5,1434.6,1457.0,S1,qlearning,0,10,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.11511024643320363,5845.0,5,1536.8,1545.0,S1,qlearning,0,11,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.11076564321803342,4828.0,0,1303.6,1344.0,S1,qlearning,0,12,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.08921644685802949,5038.0,7,1350.2,1359.0,S1,qlearning,0,13,0.1,2.0,1.0,5.0,10.0,0.7,indicator
0.09752066115702479,5757.0,2,1614.6,1674.0,S1,qlearning,0,14,0.1,2.0,1.0,5.0,10.0,0.7,indicator
